URL,Traffic (%),Number of Keywords,Traffic,Adwords Positions,Positions with commercial intents in top 20,Positions with informational intents in top 20,Positions with navigational intents in top 20,Positions with transactional intents in top 20,Positions with unknown intents in top 20,Traffic with commercial intents in top 20,Traffic with informational intents in top 20,Traffic with navigational intents in top 20,Traffic with transactional intents in top 20,Traffic with unknown intents in top 20,Traffic Change
https://72hours.com/,29.02,9,146,0,3,5,1,0,0,30,101,15,0,0,146
https://72hours.com/collections/emergency-kit,21.27,13,107,0,6,5,0,2,0,66,41,0,0,0,107
https://72hours.com/collections/emergency-supplies,16.69,2,84,0,0,1,1,0,0,0,83,1,0,0,84
https://72hours.com/products/toothbrush-blue-5-0-13-cm,5.36,1,27,0,0,1,0,1,0,0,27,0,27,0,27
https://72hours.com/products/led-flashlight-dynamo-hand-crank,4.97,12,25,0,4,10,0,6,0,15,12,0,5,0,25
https://72hours.com/collections/fire-blanket,4.37,8,22,0,2,4,0,6,0,0,5,0,22,0,22
https://72hours.com/products/clipboard-with-cover,4.37,2,22,0,2,2,0,0,0,22,22,0,0,0,22
https://72hours.com/pages/affirm,3.97,3,20,0,0,0,0,3,0,0,0,0,20,0,20
https://72hours.com/collections/deluxe-emergency-survival-kit,3.18,15,16,0,7,9,0,7,0,10,6,0,6,0,16
https://72hours.com/collections/car-emergency-kit,2.38,8,12,0,8,1,0,0,0,12,0,0,0,0,12
https://72hours.com/collections/real-meal-emergency-survival-kit,2.38,1,12,0,0,1,0,0,0,0,12,0,0,0,12
https://72hours.com/collections/readywise-food-storage,0.59,1,3,0,0,1,0,0,0,0,3,0,0,0,3
https://72hours.com/products/tube-tent,0.59,4,3,0,2,4,0,2,0,0,3,0,3,0,3
https://72hours.com/products/snap-on-toilet-lid,0.39,3,2,0,1,3,0,2,0,2,2,0,0,0,2
https://72hours.com/products/oil-siphon-pump,0.19,1,1,0,0,0,0,1,0,0,0,0,1,0,1
https://72hours.com/collections/food,0.19,1,1,0,0,0,1,0,0,0,0,1,0,0,1
https://72hours.com/products/contactless-door-opener-keychain-72hours,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
https://72hours.com/products/36-hour-candle-survival,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
https://72hours.com/products/emergency-sleeping-bag,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
https://72hours.com/products/lifestraw-family-1-0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0
https://72hours.com/products/3-in-1-collapsible-snow-shovel,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
https://72hours.com/collections/mres,0,6,0,0,4,3,0,2,0,0,0,0,0,0,0
https://72hours.com/products/earthquake-detector-quake-alarm,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
https://72hours.com/collections/school-survival-kits,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
https://72hours.com/products/5-gallon-mylar-bag-open-end,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
https://72hours.com/products/mountain-house-beef-stew-pouch-one-serving,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
https://72hours.com/products/thermal-blanket,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0
https://72hours.com/products/folding-stove-w-24-fuel-tablets,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
https://72hours.com/collections/mountain-house,0,4,0,0,1,0,3,1,0,0,0,0,0,0,0
https://72hours.com/products/auto-emergency-warning-triangle,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
https://72hours.com/products/300-cc-oxygen-absorbers,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
https://72hours.com/products/72hrs-car-tire-traction-mat-set-of-2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
https://72hours.com/products/piezo-ignition-compact-camping-stove,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
https://72hours.com/products/reusable-face-mask-black-v2-pack-of-3-ready-first-aid,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
https://72hours.com/products/stainless-steel-mug-gift,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0
https://72hours.com/products/mountain-house-beef-stroganoff-with-noodles-pouch-two-serving,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
https://72hours.com/products/xmre-12-meal-case-with-flameless-heaters,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
https://72hours.com/collections/datrex,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
https://72hours.com/products/beef-stew-10-can-package-mountain-house,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
